Empresa;Div.Liq_menos_Luc.Liq;Dividendos;Luc.Operacional;PVP_menor5;Liq_sobre_Ebita_menor2;Ano_mercado_maior10;PL_menor10;Roe_maior15;Roa_maior10Roic_maior12;Tag_along100;Free_float50;Soma_total;Formula_Graham;Cotacao
NORDON INDUSTRIAS METALÚRGICAS S.A.;0;0;0;1;0;1;;0;;0;0;3;0.0;5.46
CIA SEGUROS ALIANÇA DA BAHIA;1;0;0;1;1;1;;0;;0;1;5;35.57;33.5
WETZEL;0;0;1;1;0;1;;0;;0;0;4;0.0;13.3
EDP - ENERGIAS DO BRASIL S.A.;0;1;1;1;0;0;;0;;1;0;4;16.57;24.08
METISA;1;0;1;1;1;1;;0;;0;0;8;107.2;79.0
BOA VISTA;1;1;1;1;1;1;;0;;1;1;10;7.26;7.98
CIA CELG DE PARTICIPAÇÕES;1;0;1;1;1;0;;0;;0;0;4;7.41;44.51
MODAL MAIS;1;0;0;1;0;1;;0;;0;0;4;0.0;3.08
KARSTEN;0;0;1;1;0;1;;0;;0;0;5;0.0;18.0
MERCANTIL DO BRASIL FINANCEIRA;1;0;0;1;0;1;;0;;0;0;4;0.0;15.28
CIA DISTRIBUIDORA DE GÁS DO RJ;0;0;1;0;1;1;;0;;0;0;4;11.61;85.0
CEMEPE INVESTIMENTOS S.A.;0;0;0;1;1;1;;0;;0;0;4;0.0;30.05
CR2 EMPREENDIMENTOS;0;0;0;1;1;0;;0;;0;1;4;0.0;16.0
