Empresa;Cotação;Divida_Liquida;Custos;Lucro_Liquido;Lucro_Bruto;Margem_Bruta;Margem_Liquida;Divida_Bruta;Divida_Liquida.1;Roic;ROE;Receita_Liquida;EBITA;EBIT;Impostos;Margem_EBITA;Dy;P/VP;P/L;VPA;LPA
SPRINGS GLOBAL;2.14;468120000.0;-1.1;-469060000.0;350420000.0;24.22;-32.42;726800000.0;;-8.94;-15.07;1.45;-109960000.0;-4730000.0;-9110000.0;-0.33;0.0;0.18;-0.23;12.11;-9.38
JHSF;4.39;2390000000.0;-737880000.0;440340000.0;937540000.0;55.96;26.28;3090000000.0;;7.99;2.21;1.68;753310000.0;819150000.0;-104010000.0;48.89;10.68;0.59;6.43;7.41;0.68
ONCOCLÍNICAS;10.98;2900000000.0;-3230000000.0;230190000.0;1.81;35.87;4.57;3640000000.0;;11.98;2.75;5030000000.0;718370000.0;938510000.0;-15270000.0;18.65;0.0;2.6;39.91;4.23;0.28
JALLES MACHADO;8.42;2590000000.0;-1.29;621780000.0;420720000.0;24.61;36.37;3460000000.0;;14.42;8.05;1.71;815940000.0;1.38;-30320000.0;80.55;5.26;1.25;3.99;6.74;2.11
MOBLY;3.25;10490000.0;-352410000.0;-75760000.0;257880000.0;42.25;-12.41;177360000.0;;-11.72;-3.49;610290000.0;-81210000.0;-55980000.0;0.0;-9.17;0.0;0.67;-4.57;4.84;-0.71
BANCO BANRISUL;18.9;-5160000000.0;-9860000000.0;822660000.0;4510000000.0;31.38;5.73;0.0;-5160000000.0;8.61;2.19;14370000000.0;892030000.0;0.0;-69380000.0;0.0;5.02;0.81;9.4;23.36;2.01
PORTOBELLO;5.16;855770000.0;-671220000.0;8340000.0;861520000.0;40.43;0.39;1.26;;10.11;0.47;2130000000.0;175460000.0;290020000.0;-9820000.0;13.61;4.07;1.95;87.2;2.65;0.06
MÉLIUZ S.A.;6.43;-394670000.0;-487020000.0;-50860000.0;-117200000.0;-31.69;-13.75;1110.0;;-15.32;-1.63;369810000.0;-117220000.0;-98320000.0;-1000.0;-26.59;0.0;0.72;-12.04;8.9;-0.53
NEOENERGIA;17.54;37110000000.0;-32100000000.0;4440000000.0;12500000000.0;28.03;9.95;43420000000.0;;12.29;4.11;44610000000.0;9060000000.0;11680000000.0;-299000000.0;26.17;4.78;0.76;4.87;22.93;3.6
ENGIE BRASIL;40.55;13290000000.0;-5650000000.0;3240000000.0;5720000000.0;50.32;28.49;18050000000.0;;19.56;9.51;11370000000.0;6020000000.0;6960000000.0;-855500000.0;61.18;6.43;3.97;10.22;10.22;3.97
